Rk,Player,,2018-19
551,Andre Ingram,ingraan01,76236.00 
552,Kobi Simmons,simmoko01,76236.00 
553,Tyler Zeller,zellety01,64185.00 
554,Donatas Motiej?nas,motiedo01,59820.00 
555,Greg Monroe,monrogr01,59820.00 
556,Jemerrio Jones,jonesje01,52108.00 
557,Shaquille Harrison,harrish01,50000.00 
558,Garlon Green,greenga02,50000.00 
559,Ray Spalding,spaldra01,47371.00 
560,Chris Chiozza,chiozch01,47371.00 
561,Mitch Creek,creekmi01,47371.00 
562,Cody Demps,dempsco01,47371.00 
563,B.J. Johnson,johnsbj01,47371.00 
564,Emanuel Terry,terryem01,47371.00 
565,Richard Solomon,solomri01,47371.00 
566,Emanuel Terry,terryem01,47371.00 
567,Dusty Hannahs,hannadu01,47371.00 
568,Scott Machado,machasc01,47371.00 
569,Stephan Hicks,hicksst01,47371.00 
570,Tahjere McCall,mccalta01,47371.00 
571,Jordan Sibert,siberjo01,47371.00 
572,Isaac Humphries,humphis01,47371.00 
573,Billy Garrett,garrebi01,42634.00 
574,Emanuel Terry,terryem01,35000.00 
575,Troy Williams,willitr02,34183.00 
576,Deyonta Davis,davisde01,25637.00 
577,Michael Frazier,frazimi01,23685.00 
578,Eric Moreland,moreler01,17706.00 
579,Jordan McRae,mcraejo01,17092.00 
580,Jonathan Gibson,gibsojo01,17092.00 
581,Yante Maten,matenya01,14211.00 
582,Duncan Robinson,robindu01,9474.00 
583,Mitch Creek,creekmi01,9474.00 
584,Tarik Phillip,phillta01,9474.00 
585,Terry Larrier,larrite01,6000.00 
586,Theo Pinson,pinsoth01,4737.00 
587,Kendrick Nunn,nunnke01,4737.00 
588,Ding Yanyuhang,yanyudi01,4737.00 
589,Jalen Jones,n,543471.00 
590,Marcus Derrickson,n,77250.00 
591,Isaiah Hicks,n,77250.00 
592,Amile Jefferson,n,79568.00 
593,Alex Poythress,n,77250.00 
594,Johnathan Motley,n,79568.00 
595,Johnathan Williams,n,127250.00 
596,Devin Robinson,n,77250.00 
597,RJ Hunter,n,77250.00 
598,Alex Caruso,n,2750000.00 
599,Kadeem Allen,n,77250.00 
600,Jordan Loyd,n,77250.00 
601,Kalin Lucas,n,648000.00 
