Starter (=1),FULL NAME,TEAM,POS,ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.,Win %
,Quincy Acy,Pho,F,87.1,98.5,
,Ryan Anderson,Pho,F,91.8,112.9,
,Trevor Ariza,Pho,F,104.5,113.7,
,Dragan Bender,Pho,F,102.8,107.2,
,Mikal Bridges,Pho,F,112.1,111.3,
,Josh Jackson,Pho,F,91.8,108,
,Kelly Oubre Jr.,Pho,F,105.2,109.1,
,Ray Spalding,Pho,F,99.9,98.2,
,Emanuel Terry,Pho,F,107.9,88.6,
,T.J. Warren,Pho,F,111.4,111.1,
,Richaun Holmes,Pho,F-C,127.7,100.2,
1,Devin Booker,Pho,G,109.4,111.8,
,Isaiah Canaan,Pho,G,99.8,112,
,Jamal Crawford,Pho,G,102.5,115.8,
,Troy Daniels,Pho,G,104.6,110.3,
,Jawun Evans,Pho,G,60,104.3,
,Jimmer Fredette,Pho,G,75.1,112.2,
,Tyler Johnson,Pho,G,112,114.6,
,De'Anthony Melton,Pho,G,93.7,106.1,
,Elie Okobo,Pho,G,94.4,108.9,
,,,,,,0.6463414634
,Enes Kanter,Por,C,121.8,99.1,
1,Jusuf Nurkic,Por,C,116.5,96.7,
1,Al-Farouq Aminu,Por,F,118.3,105.1,
1,Maurice Harkless,Por,F,114.4,100.5,
,Skal Labissiere,Por,F,129,96.9,
,Jake Layman,Por,F,117.6,105.4,
,Caleb Swanigan,Por,F,74.7,94.2,
,Zach Collins,Por,F-C,112.2,100.2,
,Meyers Leonard,Por,F-C,129.2,100.1,
,Wade Baldwin IV,Por,G,73.6,102.4,
,Seth Curry,Por,G,113.3,108.7,
,Rodney Hood,Por,G,111.8,108.6,
1,Damian Lillard,Por,G,121.5,109.1,
1,CJ McCollum,Por,G,113.4,107.8,
,Anfernee Simons,Por,G,102.2,110.3,
,Nik Stauskas,Por,G,106.3,110.5,
,Gary Trent Jr.,Por,G,80.5,112.6,
,Evan Turner,Por,G-F,104.5,106,
,,,,,,0.4756097561
1,Willie Cauley-Stein,Sac,C,118.5,101.7,
,Kosta Koufos,Sac,C,102,98.2,
,Marvin Bagley III,Sac,F,111.1,106.4,
,Harrison Barnes,Sac,F,115,111.7,
,Nemanja Bjelica,Sac,F,117.2,102.9,
,Justin Jackson,Sac,F,114.3,110.5,
,BJ Johnson,Sac,F,100.7,104.1,
1,Skal Labissiere,Sac,F,96,95.7,
,Caleb Swanigan,Sac,F,96.8,91.7,
,Troy Williams,Sac,F,106.5,102.7,
,Harry Giles III,Sac,F-C,101.8,94.4,
1,Bogdan Bogdanovic,Sac,G,106.9,108.7,
,Alec Burks,Sac,G,103.4,107.5,
,Yogi Ferrell,Sac,G,114.9,110.7,
1,De'Aaron Fox,Sac,G,109.9,107.1,
1,Buddy Hield,Sac,G,113.5,108.7,
,Frank Mason,Sac,G,101.9,108.6,
,Ben McLemore,Sac,G,105.3,102,
,Iman Shumpert,Sac,G,104.8,107.3,
,Corey Brewer,Sac,G-F,121,101.1,
,,,,,,0.5853658537
